area,severity,category,title,detail,evidence,next_step
completion-path,informational,docs_or_claims,"Only three terminal statuses exist; there is no run-level ""failed""","askme.py:4162-4187 `_RunController.run()` loops `for replan in range(self.max_replans)`, calls `self.completion.try_finish(replan)` (4176) when `_execute_tasks` returns True, and falls through to `self.completion.exhausted()` (4180) otherwise. `RunOutcome.status` is documented as `""complete"" | ""complete_unverified"" | ""exhausted""` (askme.py:2927) and `COMPLETE_STATUSES = (""complete"", ""complete_unverified"")` (askme.py:4751-4752). `task_failed` (askme.py:4312-4319) is a per-task JSONL event only and never becomes a run status. `complete_unverified` is produced at askme.py:3798-3812 when the validator is unavailable or malformed — deliberately not claiming ""validation passed"" from missing evidence. Public wording must therefore say runs end complete / complete_unverified / exhausted, never that a run ""failed"".",/home/user/askme/askme.py:4162-4187 | /home/user/askme/askme.py:2927 | /home/user/askme/askme.py:4751-4752 | /home/user/askme/askme.py:3798-3812 | /home/user/askme/askme.py:4312-4319,"Fix the vocabulary in any blog/README text: three statuses, and `exhausted` is the only non-completing one."
completion-path,important,bug,An explicit model `done` is the ONLY general way a task is accepted,"`_decide_step` routes `done` to `_handle_done` (askme.py:4546-4547). `_handle_done` (askme.py:4560-4568) consults `self.obligations.refuse_done(ctx)` then `self.step_policy.guard_done(ctx, attempt)`; if both pass it sets `attempt.done = True` and returns END_ATTEMPT. The default policy arm is `heuristic` (askme.py:537 `DEFAULT_STEP_POLICY = _validated_step_policy(os.environ.get(""AGENT_STEP_POLICY"", ""heuristic""))`) whose base `guard_done` returns None (askme.py:2997-2999) — so in the default arm `done` is accepted whenever no incomplete-write obligation blocks it. The consequence is the whole issue: no `done`, no completed task, regardless of what actually landed on disk.",/home/user/askme/askme.py:4546-4568 | /home/user/askme/askme.py:2997-2999 | /home/user/askme/askme.py:537 | /home/user/askme/askme.py:4276-4321,"Name this explicitly in the blog post as a design choice, and decide whether receipt-backed acceptance (finding below) is the fix."
completion-path,release_blocker,feature,THE MISSING MECHANISM: no recorded evidence of a prior successful check can satisfy a verification task,"Answering the question plainly: there is no such path. The single receipt-backed auto-completion is `_task_satisfied_by_deterministic_repair(task, state)` (askme.py:2459-2480+), called once at askme.py:4348, and it is triple-gated — the task text must contain ""include"" plus one of add/insert/edit/include/fix, the requested include must be `#include <stdio.h>` or `#include <string.h>`, and a prior step must carry the `deterministic_repair` flag. It is the #41 C-header ablation, nothing more. It is further refused when the policy arm has an open verification obligation (`allows_deterministic_completion`, askme.py:3465-3468, base at 3001-3006). `_deterministic_check` (askme.py:2185+) does inspect recorded shell/write history, but it is only reachable from run-level `_validate_completion` (askme.py:2244-2252) AFTER every task already completed — it can never rescue a task that failed. And `CompletionPolicy.exhausted()` (askme.py:3840-3856) documents that the former 'latest shell succeeded' reconciliation was removed on purpose. So the fix cannot live at the terminal; it has to live at task acceptance.",/home/user/askme/askme.py:2459 | /home/user/askme/askme.py:4348-4360 | /home/user/askme/askme.py:3465-3468 | /home/user/askme/askme.py:2244-2252 | /home/user/askme/askme.py:3840-3856,"Design a receipt-backed verification ledger keyed by (normalized target, normalized command) that `_handle_done` — or the path just before `task_failed` at askme.py:4309-4320 — may consult, using only `all_steps` receipts, never model assertions. Register it as a protocol change before any measured claim."
completion-path,important,story_material,"Frozen record reproduces the whole 'work landed, run exhausted' chain end to end","tests/bench_records/2026-08-03/12b_easy/test_multi_step_build_trial1.jsonl: plan = [""Create main.c printing 'AGENT_OK' ..."", 'Compile main.c using cc -o ...']; task 0 completes (`task_complete`) and its step 2 is shell `cc -o main main.c && ./main`; task 1 executes shell `cc -o main main.c` once, then emits `step_skipped reason=duplicate_shell`, then `step_skipped reason=stuck_shell_repeat`; a task-local replan rewrites the task to `gcc -o main main.c` and the identical cycle repeats; then `task_failed`, then a full replan whose planner returns nothing, then `run_end status=exhausted errors=['[stuck_loop] shell cc -o main main.c: same successful command repeated', '[stuck_loop] shell gcc -o main main.c: same successful command repeated', '[malformed_plan] planner returned no valid tasks']`. That the compile SUCCEEDED is proven by the code, not inferred: `duplicate_shell` is only emitted inside `if prev.get(""ok""):` at askme.py:3113-3114. The binary was built and run; the harness reports exhausted. Many sibling records show the same `stuck_shell_repeat` on `cc -o main main.c` (2026-08-03/12b_medium, 2026-08-04/json/{easy,hard}, 2026-08-04/tools/easy).",/home/user/askme/tests/bench_records/2026-08-03/12b_easy/test_multi_step_build_trial1.jsonl | /home/user/askme/askme.py:3113-3144 | /home/user/askme/tests/bench_records/2026-08-04/json/hard/test_replan_build_with_dependency_trial3.jsonl | /home/user/askme/tests/bench_records/2026-08-04/tools/easy/test_multi_step_build_trial1.jsonl,"Use this exact record as the worked example in the blog post — it is frozen, dated, and self-contained."
completion-path,important,bug,"Guard asymmetry: a repeated harmless READ kills the attempt, a repeated WRITE only escalates thinking","Second consecutive identical successful shell -> `_StepFlow.END_ATTEMPT` with `[stuck_loop] shell ...: same successful command repeated` (askme.py:3119-3130). Second consecutive identical successful read (same `_read_key`) -> END_ATTEMPT with `[stuck_loop] read ...: same file read repeatedly` (askme.py:3170-3179). But a duplicate write/edit of the same target only sets `attempt.use_think = True` and returns NEXT_STEP (askme.py:3106-3112) — the attempt survives. So the cheapest, most harmless repetition (re-reading a file) is punished hardest, and the genuinely wasteful one (rewriting the same content) is not. This is exactly the shape of scheduled run 135's openrouter-smoke red: `test_create_and_read_file` -> status ""exhausted"" with `[stuck_loop] read ...: same file read repeatedly`.",/home/user/askme/askme.py:3119-3130 | /home/user/askme/askme.py:3170-3179 | /home/user/askme/askme.py:3106-3112 | /home/user/askme/tests/bench_records/2026-08-03/qat_easy/test_create_and_read_file_trial1.jsonl | /home/user/askme/tests/bench_records/2026-08-03/qat_easy/test_create_and_read_file_trial3.jsonl,"Consider making the read/shell second strike a corrective NEXT_STEP with a harder 'emit done or fail' note rather than END_ATTEMPT, and add a deterministic regression asserting the run still reaches `complete` when the artifact is correct. Do not change thresholds silently — this alters measured outcomes and needs a new protocol."
completion-path,important,bug,"`dup_skip_count` is one counter shared across unrelated guards, so an earlier skip can make the FIRST duplicate shell/read fatal","`dup_skip_count` is a single field on `TaskAttemptState` (askme.py:2592) incremented by the write/edit duplicate guard (3081), the shell duplicate guard (3119), the read duplicate guard (3170), the heuristic rewrite-loop guard (3299), and the lifecycle rewrite guard (3421). It is reset only in `_execute_step` (askme.py:4573, `attempt.dup_skip_count = 0  # reset on any non-skipped action`). Because the shell and read arms increment then immediately test `>= 2`, an attempt that already took one rewrite-loop skip enters the shell/read guard pre-armed: the very first duplicate shell or read then returns END_ATTEMPT with no corrective observation delivered to the model at all. Grep of tests/ found only `tests/test_agent_actions.py:1031 test_stuck_read_recorded_as_skipped` (asserting reasons == ['duplicate_read','stuck_read']) — the cross-guard priming case appears untested.",/home/user/askme/askme.py:2592 | /home/user/askme/askme.py:3081 | /home/user/askme/askme.py:3119-3120 | /home/user/askme/askme.py:3170-3171 | /home/user/askme/askme.py:3299 | /home/user/askme/askme.py:3421 | /home/user/askme/askme.py:4573 | /home/user/askme/tests/test_agent_actions.py:1031-1055,"Add a deterministic regression: rewrite-loop skip, then one duplicate successful shell, and assert the model still receives the corrective note instead of END_ATTEMPT. Then decide whether the counter should be per-guard-family."
completion-path,important,bug,"Suppressed steps enter the sliding window only — invisible to validation evidence, write visibility, and the final validator","`StepRecorder.note(entry)` appends only to `state[""last_steps""]` and its docstring says so explicitly: 'Model-visible corrective observation: enters the sliding window only, never the run-wide structured record or the JSONL log' (askme.py:2551-2554). `StepRecorder.record` is the one that also appends to `all_steps` (askme.py:2556-2563). `StepRecorder.skip` (2539-2549) only bumps `skipped_steps` and emits a JSONL skip event. Three consequences, all on the completion path: (1) `_has_new_validation_evidence` scans `all_steps` for an ok write/edit/shell after `validated_step_count`, so once validation has explicitly failed (`mark_failed`, askme.py:3708-3711) a run that only re-runs an already-successful check can NEVER meet the recheck precondition at askme.py:3746-3750 and is refused at 3824-3834; (2) `_write_visibility_flag` (askme.py:1730-1746) reports `{""no_write_executed"": True}` for a task whose only actions were suppressed; (3) the validator's evidence lines are built from `completed_step_groups` (askme.py:2255-2266), which suppressed steps never enter.",/home/user/askme/askme.py:2551-2563 | /home/user/askme/askme.py:2539-2549 | /home/user/askme/askme.py:3708-3718 | /home/user/askme/askme.py:3746-3750 | /home/user/askme/askme.py:3824-3834 | /home/user/askme/askme.py:1730-1746,"If a receipt-backed verification ledger is built, source it from `all_steps` receipts only (never from `note` entries), and decide deliberately whether a suppressed-but-previously-successful command counts as 'new evidence' — the current answer is no, which is defensible but should be a stated decision, not an accident of which recorder method was called."
completion-path,nice_to_have,docs_or_claims,"Duplicate detection is adjacency-only against `last_steps[-1]`, and `last_steps` carries across task boundaries","`guard_duplicate` reads `last = controller.state[""last_steps""][-1:]` and returns None immediately unless `last[0][""action""] == act` (askme.py:3017-3022). So the ban is not permanent: an already-succeeded command re-executes normally if ANY other action intervenes. Precise answer to 'can a task whose criterion is an already-succeeded command ever be satisfied without re-executing it?' — it can be satisfied by re-executing it (non-adjacently), or by the model emitting `done` after reading the corrective note 'Already ran successfully — use the earlier output. Take the next action, or emit done/fail.' (askme.py:3138-3141). What it cannot do is be satisfied from the record alone. Separately, `_execute_tasks` seeds each task with the previous task's final step (`prev_last = self.state[""last_steps""][-1:]`, askme.py:4281, applied at 4343), so a new task's very FIRST action can be classified a duplicate of the previous task's last step when the args match exactly — the classic verify-only replan shape.",/home/user/askme/askme.py:3017-3022 | /home/user/askme/askme.py:3131-3144 | /home/user/askme/askme.py:4281 | /home/user/askme/askme.py:4343,"State the mechanism precisely in public: a 2-strike adjacency counter, not a permanent ban. Overclaiming 'the harness refuses to re-run successful commands' would be wrong."
completion-path,important,ci_infra,Every listed coverage gap sits inside the completion / obligation / validation machinery,"Mapping the parent's uncovered ranges: askme.py 1483->1488 and 1494-1500 are `_extract_error_type`'s prefix parse and heuristic fallbacks — including line 1498 `return ""stuck_loop"", err`, the fallback classification of the very error string this whole failure mode produces (live errors already carry the `[stuck_loop]` prefix, so the fallback is effectively dead). 1551 is the `continue` when `_mutation_target_key` returns None inside `_unresolved_incomplete_writes` — the incomplete-write completion blocker. 1576-1583 is the non-dict/legacy branch and the `recovery_arg` fallbacks of the incomplete-write display helper; 1599 is `_next_pending_empty`'s 'all obligations allow append' fallback; 1674-1678 is `_pending_append_targets`' legacy `append_target` handling — all three feed the `[incomplete_write] ... completion refused` path at askme.py:4288-4296. 2172-2208 is `_should_validate`'s decision branches plus the head of `_deterministic_check` (pending_empty_writes, unresolved truncated writes, empty-file check). 2248-2272 is `_validate_completion`'s deterministic-False rejection and the evidence block it hands the validator. 3607-3632 is `WriteObligations`' truncated-write `pending_empty_writes` bookkeeping. So: yes, all of them — the aggregate 96.61% branch coverage conceals that the code deciding 'is this run complete' is the least-exercised region in the two runtime files.",/home/user/askme/askme.py:1478-1500 | /home/user/askme/askme.py:1545-1555 | /home/user/askme/askme.py:1570-1599 | /home/user/askme/askme.py:2168-2208 | /home/user/askme/askme.py:2244-2272 | /home/user/askme/askme.py:3600-3632 | /home/user/askme/askme.py:4288-4296,"Before publishing a coverage number, add targeted tests for `_should_validate`, `_deterministic_check`, and the incomplete-write recovery-arg fallbacks; or state publicly that the headline figure is aggregate and name this region as thinner."
completion-path,nice_to_have,docs_or_claims,"Docs disclose the failure class honestly, but two PERFORMANCE.md passages describe removed auto-done behavior","The honest disclosure is real and citable: docs/ARCHITECTURE.md:345 names 'Done-emission loops on QAT weights (local, observed 2026-08-03)' — 'the model completes all steps correctly, then re-emits duplicate successful actions ... until the step budget exhausts — 2 of 5 E23 bench pytest failures, always with a correct deliverable on disk' — and docs/PERFORMANCE.md:179 repeats it; docs/PERFORMANCE.md:45 says the agent 'completed the work — compile fixed, binary built and ran — then exhausted'. Both correctly say these runs 'correctly end exhausted' per issue #68 and point at `AGENT_STEP_POLICY=lifecycle` as the untested lever. However docs/PERFORMANCE.md:576 says 'task 2 auto-done via duplicate guard' and the table at docs/PERFORMANCE.md:679-681 shows 'Write main.c loop (same content) | ... | 1 write → auto-done'. The current code does the opposite: askme.py:3115-3118 states 'Repetition is never completion evidence (issue #68): the duplicate is suppressed as a no-op once ... task acceptance still requires an explicit done.' Those are dated entries and legitimate history, but a blog post quoting that table would describe behavior the code no longer has.",/home/user/askme/docs/ARCHITECTURE.md:345 | /home/user/askme/docs/PERFORMANCE.md:179 | /home/user/askme/docs/PERFORMANCE.md:45 | /home/user/askme/docs/PERFORMANCE.md:576 | /home/user/askme/docs/PERFORMANCE.md:679-681 | /home/user/askme/askme.py:3113-3118,"Do not edit the frozen entries; when quoting them publicly, date-stamp them and add a one-line 'superseded by issue #68' pointer so no reader infers current auto-done behavior."
