unit,verdict,one_line,next_step
issue #95 — verified repair recorded as exhausted,live_important,"Real live defect: the consecutive-duplicate shell guard (askme.py:3113-3130) hard-terminates an attempt before `done` can be selected, so a repair landed and verified 20/20 is recorded complete only 9/20; the issue's 'done emitted zero times' claim is an instrumentation artifact and must be struck.","Correct the issue body, then land two independent cheap changes: (a) make _handle_done emit a receipt/event so accepted dones are measurable at all; (b) convert the fatal second strike from END_ATTEMPT into one more corrective step naming `done`, or generalize the existing 'recorded evidence satisfies a task' concept (askme.py:4348-4360, currently hardcoded to C includes) to a recorded successful verification command. Regression must assert user-visible status, not an internal flag."
issue #94 — incomplete_write recovery has no live producer,live_important,"Since 5e59dd6 no wire decode path can set content_truncated, so the whole incomplete_write / resume-anchor / chunked-append stack is reachable only through the injection seam at askme.py:4498-4504 — while CLAUDE.md and docs/ARCHITECTURE.md:180 still assert it as live behavior.","Before any public link-out, reconcile the docs (split CLAUDE.md's truncation invariant into the live observation half and the inert write-recovery half; fix ARCHITECTURE.md:180 to match the accurate ~line 201 statement). Then land the cheap option-3 mitigation (skip the 256->512 write-budget escalation when the same target already truncated). Then decide option 1 (salvage the longest valid prefix in _decode_tool_call_reply, restoring the deleted live producer and reactivating ~51 tests as real coverage) vs option 2 (delete the machinery)."
issue #85 — v0.1.0 claim-safe announcement checklist,live_and_blocks_release,"This issue IS the release gate; 13 of its 15 must-haves are not landed — no tag, no release, llm.yml doesn't watch actions.py, README has no clone/cd and never says source-only, no full-history secret scan, #41 still on by default with a DRAFT ablation, and no current-main external-repo run.",Work it in the order given in recommended_order below; keep the issue's 'Announcement claim boundary' paragraph as the governing wording constraint for the blog post.
issue #27 — Berkeley talk claim corrections,live_important,Corrections landed in blog.md / README.md / DECK_SPEC.md but SPEAKER_NOTES.md was never touched after the issue was filed and still carries all seven flagged claims (including 'mixture-of-experts' three times for the dense-PLE local E4B); slides.md still carries three.,"Tier 1 (pre-blog, no test coupling): rewrite SPEAKER_NOTES.md lines 13/24/62 (dense PLE), 32 (curated state), 14-15/26 (name the revision/provider/quantization/budget deltas and the waived neutrality check), 60 ('fastest build trajectory'), 68/71/79 (bound to n=1 hypothesis-generating), 35-36 (separate in-loop feedback from post-run held-out scoring). Tier 2 (coupled): reword slides.md:573/600/609/627/649, update the pinned strings at tests/test_talk_deck_contract.py:67/76 in the same commit, regenerate slides.pdf with the pinned Marp command, visually inspect."
issue #31 — explicit lifecycle step policy,needs_owner_decision,"The lifecycle arm landed, is tested, and is off by default; its preregistered A/B returned p=1.000 with the lifecycle guards firing ZERO times, so the cell never tested the mechanism — the issue's decision is unresolved and six doc sites on main still call the arm an unrun follow-up.","Cherry-pick tests/bench_records/2026-08-07-e31-confirmation/ onto main; fix the six stale doc lines; then put the choice explicitly on the issue — requalify on the E23 done-emission class where the guards actually engage, retire the arm, or freeze it as a documented research arm pending #63/#64. Also close out the 2026-08-03 weak-verification review thread one way or the other."
issues #41 / #68 / #69 — roadmap trackers,live_minor,"Code is ahead of all three issue bodies: #41's boundary conversion landed (only the retain-vs-remove decision remains, ablation still DRAFT, rule on by default), #68's eight high-confidence items all landed plus two outcome-bearing ones, and #69's extraction landed with #79 closed.","#41 is the only real action item and it is cheap (~one 3-trial rerun of two tests): either fill the PIN fields in docs/ablation-compile-repair.md, register E22 and run both arms, or explicitly descope for v0.1.0 with a documented 'benchmark-shaped, ablation pending' note and an attribution caveat on the fix_missing_include speedup. Re-scope #68 to its outcome-bearing remainder and fix CLAUDE.md's stale transport line; close #69 pointing at #80/#81/#84."
issues #62 / #63 / #64 / #66 — evaluation chain,live_important,"Essentially unexecuted: no #62 manifest or outcome schema exists, #63's factor levels are already RunConfig-selectable but none of its runner machinery exists, #64/#66 are unstarted — and the FeatureBench adapter that #62 and #66 both depend on cannot even run on main.","Fix tests/featurebench/askme_adapter.py to ship and hash actions.py alongside askme.py (file this as its own small bug — without it #62/#66 are silently non-executable). Then, if any evaluation is worth funding for the blog, run a narrowed #66: register a v7 protocol re-pinning both source hashes and interface revision 6, requalify the gold and harmless-nonempty controls, and run 2 AskMe cells against the v6 record. Strike or rewrite #63 A.1 and #64 study-A bullet 3, which specify a deleted arm."
issues #76 / #77 / #78 / #80 / #81 / #84 — engineering backlog,live_minor,"All six unstarted, none stale, none release-blocking; the one item with real weight is #77's process-group leak, confirmed unfixed in both actions.py:487-504 and tests/bench_harness.py:132-155 and backed by a dated 4.6-hour hang record.","Carve the process-group fix out of #77 as a standalone PR (start_new_session=True plus bounded SIGTERM->SIGKILL killpg on TimeoutExpired, with a descendant-kill regression). Then #84 item 1 (replace the real `sleep 60` at tests/test_agent_core.py:39 with an injected TimeoutExpired — saves ~30s x 5 Python versions per CI run). #80 before #81, scoped per-file, noting the count is now 490/15."
PR #97 — 2026-08-29 upstream audit + PEG probe,merge_after_change,"Docs+evidence only, zero runtime change, CI green, coverage flat; the follow-up commit b45bc87 arrived and its numbers reproduce exactly from the committed analyze.py — but the probe README has a duplicated '## Two runs' section whose stale copy restates the very conflation the commit fixes.","Delete README.md lines 65-76 (keep the corrected copy at line 46), then merge. Optionally re-trigger review — the only review on record ran against b107b4b, not the correcting commit."
PR #96 — macOS Apple Silicon CI lanes,merge_now,"Clean, credential-free, fully green, coverage-neutral; delivers real Apple Silicon platform parity and an end-to-end llama.cpp tool-call contract check, and honestly documents that no hosted GitHub runner can run the 16 GB E4B reference lane.","Merge as-is — merging is the only way llama-reference becomes dispatchable, since workflow_dispatch requires the file on the default branch and macos.yml is absent from main. Then obtain a 16 GB+ arm64 label and dispatch with min_memory_gb=16 and an immutable model_revision (never 'main'), keeping macos-logs/model-identity.txt as provenance. Consider flipping the default min_memory_gb to 16 and removing the working default for model_revision."
